name,game_genre,app_store_price,avg_rating,avg_review_count,app_sale_cost,longevity_in_yrs,maintenance_cost,app_revenue,profit
DRAGON BALL Z DOKKAN BATTLE,Games,0,4,327738,"$25,000.00 ",9,"$108,000.00 ","$540,000.00 ","$432,000.00 "
Twitter,News,0,4,6006015,"$25,000.00 ",9,"$108,000.00 ","$540,000.00 ","$432,000.00 "
Angry Birds Friends,Games,0,4,426704,"$25,000.00 ",9,"$108,000.00 ","$540,000.00 ","$432,000.00 "
Google Earth,Travel,0,4,1392641,"$25,000.00 ",9,"$108,000.00 ","$540,000.00 ","$432,000.00 "
Facebook,Social Networking,0,3.75,40566491,"$25,000.00 ",8.5,"$102,000.00 ","$510,000.00 ","$408,000.00 "
LinkedIn,Social Networking,0,3.75,648611,"$25,000.00 ",8.5,"$102,000.00 ","$510,000.00 ","$408,000.00 "
Just Dance Now,Games,0,3.75,398296,"$25,000.00 ",8.5,"$102,000.00 ","$510,000.00 ","$408,000.00 "
Tinder,Lifestyle,0,3.75,1466407,"$25,000.00 ",8.5,"$102,000.00 ","$510,000.00 ","$408,000.00 "
Facebook,Social Networking,0,3.75,40551442,"$25,000.00 ",8.5,"$102,000.00 ","$510,000.00 ","$408,000.00 "
LinkedIn,Social Networking,0,3.75,648597,"$25,000.00 ",8.5,"$102,000.00 ","$510,000.00 ","$408,000.00 "
Mobile Strike,Games,0,3.75,464163,"$25,000.00 ",8.5,"$102,000.00 ","$510,000.00 ","$408,000.00 "
Uber Driver,Business,0,3.75,629009,"$25,000.00 ",8.5,"$102,000.00 ","$510,000.00 ","$408,000.00 "
Uber,Travel,0,3.5,2488943,"$25,000.00 ",8,"$96,000.00 ","$480,000.00 ","$384,000.00 "
Pokémon GO,Games,0,3.5,5341276,"$25,000.00 ",8,"$96,000.00 ","$480,000.00 ","$384,000.00 "
PAC-MAN,Games,0,3.5,597129,"$25,000.00 ",8,"$96,000.00 ","$480,000.00 ","$384,000.00 "
PAC-MAN,Games,0,3.5,597394,"$25,000.00 ",8,"$96,000.00 ","$480,000.00 ","$384,000.00 "
Pokémon GO,Games,0,3.5,5339455,"$25,000.00 ",8,"$96,000.00 ","$480,000.00 ","$384,000.00 "
Uber,Travel,0,3.5,2485666,"$25,000.00 ",8,"$96,000.00 ","$480,000.00 ","$384,000.00 "
Snapchat,Photo & Video,0,3.25,8662035,"$25,000.00 ",7.5,"$90,000.00 ","$450,000.00 ","$360,000.00 "
Snapchat,Photo & Video,0,3.25,8669346,"$25,000.00 ",7.5,"$90,000.00 ","$450,000.00 ","$360,000.00 "
Snapchat,Photo & Video,0,3.25,8669628,"$25,000.00 ",7.5,"$90,000.00 ","$450,000.00 ","$360,000.00 "
NFL,Sports,0,3.25,243557,"$25,000.00 ",7.5,"$90,000.00 ","$450,000.00 ","$360,000.00 "
Google Play Movies & TV,Entertainment,0,3.25,453789,"$25,000.00 ",7.5,"$90,000.00 ","$450,000.00 ","$360,000.00 "
Snapchat,Photo & Video,0,3.25,8669305,"$25,000.00 ",7.5,"$90,000.00 ","$450,000.00 ","$360,000.00 "
NFL,Sports,0,3.25,243556,"$25,000.00 ",7.5,"$90,000.00 ","$450,000.00 ","$360,000.00 "
Super Mario Run,Games,0,3,654927,"$25,000.00 ",7,"$84,000.00 ","$420,000.00 ","$336,000.00 "
